numero,tipo,data_inspecao,inspetor_nome,resultado,observacoes
INSP-F-0063,final,2025-03-07,Ana Lima,aprovado,OK
INSP-F-0064,final,2025-03-08,Ana Lima,aprovado,OK
INSP-F-0065,final,2025-03-09,Ana Lima,aprovado,OK
INSP-F-0066,final,2025-03-10,Ana Lima,aprovado,OK
INSP-F-0067,final,2025-03-11,Ana Lima,aprovado,OK
INSP-F-0068,final,2025-03-12,Ana Lima,aprovado,OK
INSP-F-0069,final,2025-03-13,Ana Lima,aprovado,OK
INSP-F-0070,final,2025-03-14,Ana Lima,aprovado,OK
INSP-F-0071,final,2025-03-15,Ana Lima,aprovado,OK
INSP-F-0072,final,2025-03-16,Ana Lima,aprovado,OK
INSP-F-0073,final,2025-03-17,Ana Lima,aprovado,OK
INSP-F-0074,final,2025-03-18,Ana Lima,aprovado,OK
INSP-F-0075,final,2025-03-19,Ana Lima,reprovado,Falha na selagem
INSP-F-0076,final,2025-03-20,Ana Lima,aprovado,OK
INSP-F-0077,final,2025-03-21,Ana Lima,aprovado,OK
INSP-F-0078,final,2025-03-22,Ana Lima,aprovado,OK
INSP-F-0079,final,2025-03-23,Ana Lima,aprovado,OK
INSP-F-0080,final,2025-03-24,Ana Lima,aprovado,OK
INSP-F-0081,final,2025-03-25,Ana Lima,aprovado,OK
INSP-F-0082,final,2025-03-26,Ana Lima,aprovado,OK
INSP-F-0083,final,2025-03-27,Ana Lima,aprovado,OK
INSP-F-0084,final,2025-03-28,Ana Lima,aprovado,OK
INSP-F-0085,final,2025-03-29,Ana Lima,aprovado,OK
INSP-F-0086,final,2025-03-30,Ana Lima,aprovado,OK
INSP-F-0087,final,2025-03-31,Ana Lima,aprovado,OK
INSP-F-0088,final,2025-04-01,Ana Lima,aprovado,OK
