op_numero,etapa,maquina_codigo,operador_nome,data_inicio,data_fim,quantidade_produzida,quantidade_refugo,motivo_refugo
OP-2025-0012,corte_solda,COR-01,Maria Costa,2025-01-14T11:00:00Z,2025-01-14T18:00:00Z,1960,20,Falha na solda
OP-2025-0013,extrusao,EXT-01,João Silva,2025-01-15T07:00:00Z,2025-01-15T11:00:00Z,2450,25,Acerto de máquina
OP-2025-0014,extrusao,EXT-01,João Silva,2025-01-16T07:00:00Z,2025-01-16T11:00:00Z,2940,30,Acerto de máquina
OP-2025-0015,extrusao,EXT-01,João Silva,2025-01-17T07:00:00Z,2025-01-17T11:00:00Z,3430,35,Acerto de máquina
OP-2025-0015,corte_solda,COR-01,Maria Costa,2025-01-17T11:00:00Z,2025-01-17T18:00:00Z,3430,35,Falha na solda
OP-2025-0016,extrusao,EXT-01,João Silva,2025-01-18T07:00:00Z,2025-01-18T11:00:00Z,3920,40,Acerto de máquina
OP-2025-0016,corte_solda,COR-01,Maria Costa,2025-01-18T11:00:00Z,2025-01-18T18:00:00Z,3920,40,Falha na solda
OP-2025-0017,extrusao,EXT-01,João Silva,2025-01-19T07:00:00Z,2025-01-19T11:00:00Z,4410,45,Acerto de máquina
OP-2025-0017,corte_solda,COR-01,Maria Costa,2025-01-19T11:00:00Z,2025-01-19T18:00:00Z,4410,45,Falha na solda
OP-2025-0018,extrusao,EXT-01,João Silva,2025-01-20T07:00:00Z,2025-01-20T11:00:00Z,4900,50,Acerto de máquina
OP-2025-0019,extrusao,EXT-01,João Silva,2025-01-21T07:00:00Z,2025-01-21T11:00:00Z,5390,55,Acerto de máquina
OP-2025-0020,extrusao,EXT-01,João Silva,2025-01-22T07:00:00Z,2025-01-22T11:00:00Z,980,10,Acerto de máquina
OP-2025-0020,corte_solda,COR-01,Maria Costa,2025-01-22T11:00:00Z,2025-01-22T18:00:00Z,980,10,Falha na solda
OP-2025-0021,extrusao,EXT-01,João Silva,2025-01-23T07:00:00Z,2025-01-23T11:00:00Z,1470,15,Acerto de máquina
OP-2025-0021,corte_solda,COR-01,Maria Costa,2025-01-23T11:00:00Z,2025-01-23T18:00:00Z,1470,15,Falha na solda
OP-2025-0022,extrusao,EXT-01,João Silva,2025-01-24T07:00:00Z,2025-01-24T11:00:00Z,1960,20,Acerto de máquina
OP-2025-0022,corte_solda,COR-01,Maria Costa,2025-01-24T11:00:00Z,2025-01-24T18:00:00Z,1960,20,Falha na solda
OP-2025-0023,extrusao,EXT-01,João Silva,2025-01-25T07:00:00Z,2025-01-25T11:00:00Z,2450,25,Acerto de máquina
OP-2025-0024,extrusao,EXT-01,João Silva,2025-01-26T07:00:00Z,2025-01-26T11:00:00Z,2940,30,Acerto de máquina
OP-2025-0025,extrusao,EXT-01,João Silva,2025-01-27T07:00:00Z,2025-01-27T11:00:00Z,3430,35,Acerto de máquina
OP-2025-0025,corte_solda,COR-01,Maria Costa,2025-01-27T11:00:00Z,2025-01-27T18:00:00Z,3430,35,Falha na solda
OP-2025-0026,extrusao,EXT-01,João Silva,2025-01-28T07:00:00Z,2025-01-28T11:00:00Z,3920,40,Acerto de máquina
OP-2025-0026,corte_solda,COR-01,Maria Costa,2025-01-28T11:00:00Z,2025-01-28T18:00:00Z,3920,40,Falha na solda
OP-2025-0027,extrusao,EXT-01,João Silva,2025-01-29T07:00:00Z,2025-01-29T11:00:00Z,4410,45,Acerto de máquina
OP-2025-0027,corte_solda,COR-01,Maria Costa,2025-01-29T11:00:00Z,2025-01-29T18:00:00Z,4410,45,Falha na solda
OP-2025-0028,extrusao,EXT-01,João Silva,2025-01-30T07:00:00Z,2025-01-30T11:00:00Z,4900,50,Acerto de máquina
OP-2025-0029,extrusao,EXT-01,João Silva,2025-01-31T07:00:00Z,2025-01-31T11:00:00Z,5390,55,Acerto de máquina
OP-2025-0030,extrusao,EXT-01,João Silva,2025-02-01T07:00:00Z,2025-02-01T11:00:00Z,980,10,Acerto de máquina
OP-2025-0030,corte_solda,COR-01,Maria Costa,2025-02-01T11:00:00Z,2025-02-01T18:00:00Z,980,10,Falha na solda
OP-2025-0031,extrusao,EXT-01,João Silva,2025-02-02T07:00:00Z,2025-02-02T11:00:00Z,1470,15,Acerto de máquina
OP-2025-0031,corte_solda,COR-01,Maria Costa,2025-02-02T11:00:00Z,2025-02-02T18:00:00Z,1470,15,Falha na solda
OP-2025-0032,extrusao,EXT-01,João Silva,2025-02-03T07:00:00Z,2025-02-03T11:00:00Z,1960,20,Acerto de máquina
OP-2025-0032,corte_solda,COR-01,Maria Costa,2025-02-03T11:00:00Z,2025-02-03T18:00:00Z,1960,20,Falha na solda
OP-2025-0033,extrusao,EXT-01,João Silva,2025-02-04T07:00:00Z,2025-02-04T11:00:00Z,2450,25,Acerto de máquina
OP-2025-0034,extrusao,EXT-01,João Silva,2025-02-05T07:00:00Z,2025-02-05T11:00:00Z,2940,30,Acerto de máquina
OP-2025-0035,extrusao,EXT-01,João Silva,2025-02-06T07:00:00Z,2025-02-06T11:00:00Z,3430,35,Acerto de máquina
OP-2025-0035,corte_solda,COR-01,Maria Costa,2025-02-06T11:00:00Z,2025-02-06T18:00:00Z,3430,35,Falha na solda
OP-2025-0036,extrusao,EXT-01,João Silva,2025-02-07T07:00:00Z,2025-02-07T11:00:00Z,3920,40,Acerto de máquina
OP-2025-0036,corte_solda,COR-01,Maria Costa,2025-02-07T11:00:00Z,2025-02-07T18:00:00Z,3920,40,Falha na solda
OP-2025-0037,extrusao,EXT-01,João Silva,2025-02-08T07:00:00Z,2025-02-08T11:00:00Z,4410,45,Acerto de máquina
OP-2025-0037,corte_solda,COR-01,Maria Costa,2025-02-08T11:00:00Z,2025-02-08T18:00:00Z,4410,45,Falha na solda
OP-2025-0038,extrusao,EXT-01,João Silva,2025-02-09T07:00:00Z,2025-02-09T11:00:00Z,4900,50,Acerto de máquina
OP-2025-0039,extrusao,EXT-01,João Silva,2025-02-10T07:00:00Z,2025-02-10T11:00:00Z,5390,55,Acerto de máquina
OP-2025-0040,extrusao,EXT-01,João Silva,2025-02-11T07:00:00Z,2025-02-11T11:00:00Z,980,10,Acerto de máquina
OP-2025-0040,corte_solda,COR-01,Maria Costa,2025-02-11T11:00:00Z,2025-02-11T18:00:00Z,980,10,Falha na solda
OP-2025-0041,extrusao,EXT-01,João Silva,2025-02-12T07:00:00Z,2025-02-12T11:00:00Z,1470,15,Acerto de máquina
OP-2025-0041,corte_solda,COR-01,Maria Costa,2025-02-12T11:00:00Z,2025-02-12T18:00:00Z,1470,15,Falha na solda
OP-2025-0042,extrusao,EXT-01,João Silva,2025-02-13T07:00:00Z,2025-02-13T11:00:00Z,1960,20,Acerto de máquina
OP-2025-0042,corte_solda,COR-01,Maria Costa,2025-02-13T11:00:00Z,2025-02-13T18:00:00Z,1960,20,Falha na solda
OP-2025-0043,extrusao,EXT-01,João Silva,2025-02-14T07:00:00Z,2025-02-14T11:00:00Z,2450,25,Acerto de máquina
OP-2025-0044,extrusao,EXT-01,João Silva,2025-02-15T07:00:00Z,2025-02-15T11:00:00Z,2940,30,Acerto de máquina
OP-2025-0045,extrusao,EXT-01,João Silva,2025-02-16T07:00:00Z,2025-02-16T11:00:00Z,3430,35,Acerto de máquina
OP-2025-0045,corte_solda,COR-01,Maria Costa,2025-02-16T11:00:00Z,2025-02-16T18:00:00Z,3430,35,Falha na solda
OP-2025-0046,extrusao,EXT-01,João Silva,2025-02-17T07:00:00Z,2025-02-17T11:00:00Z,3920,40,Acerto de máquina
OP-2025-0046,corte_solda,COR-01,Maria Costa,2025-02-17T11:00:00Z,2025-02-17T18:00:00Z,3920,40,Falha na solda
OP-2025-0047,extrusao,EXT-01,João Silva,2025-02-18T07:00:00Z,2025-02-18T11:00:00Z,4410,45,Acerto de máquina
OP-2025-0047,corte_solda,COR-01,Maria Costa,2025-02-18T11:00:00Z,2025-02-18T18:00:00Z,4410,45,Falha na solda
OP-2025-0048,extrusao,EXT-01,João Silva,2025-02-19T07:00:00Z,2025-02-19T11:00:00Z,4900,50,Acerto de máquina
OP-2025-0049,extrusao,EXT-01,João Silva,2025-02-20T07:00:00Z,2025-02-20T11:00:00Z,5390,55,Acerto de máquina
OP-2025-0050,extrusao,EXT-01,João Silva,2025-02-21T07:00:00Z,2025-02-21T11:00:00Z,980,10,Acerto de máquina
OP-2025-0050,corte_solda,COR-01,Maria Costa,2025-02-21T11:00:00Z,2025-02-21T18:00:00Z,980,10,Falha na solda
OP-2025-0051,extrusao,EXT-01,João Silva,2025-02-22T07:00:00Z,2025-02-22T11:00:00Z,1470,15,Acerto de máquina
OP-2025-0051,corte_solda,COR-01,Maria Costa,2025-02-22T11:00:00Z,2025-02-22T18:00:00Z,1470,15,Falha na solda
OP-2025-0052,extrusao,EXT-01,João Silva,2025-02-23T07:00:00Z,2025-02-23T11:00:00Z,1960,20,Acerto de máquina
OP-2025-0052,corte_solda,COR-01,Maria Costa,2025-02-23T11:00:00Z,2025-02-23T18:00:00Z,1960,20,Falha na solda
OP-2025-0053,extrusao,EXT-01,João Silva,2025-02-24T07:00:00Z,2025-02-24T11:00:00Z,2450,25,Acerto de máquina
OP-2025-0054,extrusao,EXT-01,João Silva,2025-02-25T07:00:00Z,2025-02-25T11:00:00Z,2940,30,Acerto de máquina
OP-2025-0055,extrusao,EXT-01,João Silva,2025-02-26T07:00:00Z,2025-02-26T11:00:00Z,3430,35,Acerto de máquina
OP-2025-0055,corte_solda,COR-01,Maria Costa,2025-02-26T11:00:00Z,2025-02-26T18:00:00Z,3430,35,Falha na solda
OP-2025-0056,extrusao,EXT-01,João Silva,2025-02-27T07:00:00Z,2025-02-27T11:00:00Z,3920,40,Acerto de máquina
OP-2025-0056,corte_solda,COR-01,Maria Costa,2025-02-27T11:00:00Z,2025-02-27T18:00:00Z,3920,40,Falha na solda
OP-2025-0057,extrusao,EXT-01,João Silva,2025-02-28T07:00:00Z,2025-02-28T11:00:00Z,4410,45,Acerto de máquina
OP-2025-0057,corte_solda,COR-01,Maria Costa,2025-02-28T11:00:00Z,2025-02-28T18:00:00Z,4410,45,Falha na solda
OP-2025-0058,extrusao,EXT-01,João Silva,2025-03-01T07:00:00Z,2025-03-01T11:00:00Z,4900,50,Acerto de máquina
OP-2025-0059,extrusao,EXT-01,João Silva,2025-03-02T07:00:00Z,2025-03-02T11:00:00Z,5390,55,Acerto de máquina
OP-2025-0060,extrusao,EXT-01,João Silva,2025-03-03T07:00:00Z,2025-03-03T11:00:00Z,980,10,Acerto de máquina
OP-2025-0060,corte_solda,COR-01,Maria Costa,2025-03-03T11:00:00Z,2025-03-03T18:00:00Z,980,10,Falha na solda
OP-2025-0061,extrusao,EXT-01,João Silva,2025-03-04T07:00:00Z,2025-03-04T11:00:00Z,1470,15,Acerto de máquina
OP-2025-0061,corte_solda,COR-01,Maria Costa,2025-03-04T11:00:00Z,2025-03-04T18:00:00Z,1470,15,Falha na solda
OP-2025-0062,extrusao,EXT-01,João Silva,2025-03-05T07:00:00Z,2025-03-05T11:00:00Z,1960,20,Acerto de máquina
OP-2025-0062,corte_solda,COR-01,Maria Costa,2025-03-05T11:00:00Z,2025-03-05T18:00:00Z,1960,20,Falha na solda
OP-2025-0063,extrusao,EXT-01,João Silva,2025-03-06T07:00:00Z,2025-03-06T11:00:00Z,2450,25,Acerto de máquina
OP-2025-0064,extrusao,EXT-01,João Silva,2025-03-07T07:00:00Z,2025-03-07T11:00:00Z,2940,30,Acerto de máquina
OP-2025-0065,extrusao,EXT-01,João Silva,2025-03-08T07:00:00Z,2025-03-08T11:00:00Z,3430,35,Acerto de máquina
OP-2025-0065,corte_solda,COR-01,Maria Costa,2025-03-08T11:00:00Z,2025-03-08T18:00:00Z,3430,35,Falha na solda
OP-2025-0066,extrusao,EXT-01,João Silva,2025-03-09T07:00:00Z,2025-03-09T11:00:00Z,3920,40,Acerto de máquina
OP-2025-0066,corte_solda,COR-01,Maria Costa,2025-03-09T11:00:00Z,2025-03-09T18:00:00Z,3920,40,Falha na solda
OP-2025-0067,extrusao,EXT-01,João Silva,2025-03-10T07:00:00Z,2025-03-10T11:00:00Z,4410,45,Acerto de máquina
OP-2025-0067,corte_solda,COR-01,Maria Costa,2025-03-10T11:00:00Z,2025-03-10T18:00:00Z,4410,45,Falha na solda
OP-2025-0068,extrusao,EXT-01,João Silva,2025-03-11T07:00:00Z,2025-03-11T11:00:00Z,4900,50,Acerto de máquina
OP-2025-0069,extrusao,EXT-01,João Silva,2025-03-12T07:00:00Z,2025-03-12T11:00:00Z,5390,55,Acerto de máquina
OP-2025-0070,extrusao,EXT-01,João Silva,2025-03-13T07:00:00Z,2025-03-13T11:00:00Z,980,10,Acerto de máquina
OP-2025-0070,corte_solda,COR-01,Maria Costa,2025-03-13T11:00:00Z,2025-03-13T18:00:00Z,980,10,Falha na solda
OP-2025-0071,extrusao,EXT-01,João Silva,2025-03-14T07:00:00Z,2025-03-14T11:00:00Z,1470,15,Acerto de máquina
OP-2025-0071,corte_solda,COR-01,Maria Costa,2025-03-14T11:00:00Z,2025-03-14T18:00:00Z,1470,15,Falha na solda
OP-2025-0072,extrusao,EXT-01,João Silva,2025-03-15T07:00:00Z,2025-03-15T11:00:00Z,1960,20,Acerto de máquina
OP-2025-0072,corte_solda,COR-01,Maria Costa,2025-03-15T11:00:00Z,2025-03-15T18:00:00Z,1960,20,Falha na solda
OP-2025-0073,extrusao,EXT-01,João Silva,2025-03-16T07:00:00Z,2025-03-16T11:00:00Z,2450,25,Acerto de máquina
OP-2025-0074,extrusao,EXT-01,João Silva,2025-03-17T07:00:00Z,2025-03-17T11:00:00Z,2940,30,Acerto de máquina
OP-2025-0075,extrusao,EXT-01,João Silva,2025-03-18T07:00:00Z,2025-03-18T11:00:00Z,3430,35,Acerto de máquina
OP-2025-0075,corte_solda,COR-01,Maria Costa,2025-03-18T11:00:00Z,2025-03-18T18:00:00Z,3430,35,Falha na solda
OP-2025-0076,extrusao,EXT-01,João Silva,2025-03-19T07:00:00Z,2025-03-19T11:00:00Z,3920,40,Acerto de máquina
OP-2025-0076,corte_solda,COR-01,Maria Costa,2025-03-19T11:00:00Z,2025-03-19T18:00:00Z,3920,40,Falha na solda
OP-2025-0077,extrusao,EXT-01,João Silva,2025-03-20T07:00:00Z,2025-03-20T11:00:00Z,4410,45,Acerto de máquina
OP-2025-0077,corte_solda,COR-01,Maria Costa,2025-03-20T11:00:00Z,2025-03-20T18:00:00Z,4410,45,Falha na solda
OP-2025-0078,extrusao,EXT-01,João Silva,2025-03-21T07:00:00Z,2025-03-21T11:00:00Z,4900,50,Acerto de máquina
OP-2025-0079,extrusao,EXT-01,João Silva,2025-03-22T07:00:00Z,2025-03-22T11:00:00Z,5390,55,Acerto de máquina
OP-2025-0080,extrusao,EXT-01,João Silva,2025-03-23T07:00:00Z,2025-03-23T11:00:00Z,980,10,Acerto de máquina
OP-2025-0080,corte_solda,COR-01,Maria Costa,2025-03-23T11:00:00Z,2025-03-23T18:00:00Z,980,10,Falha na solda
OP-2025-0081,extrusao,EXT-01,João Silva,2025-03-24T07:00:00Z,2025-03-24T11:00:00Z,1470,15,Acerto de máquina
OP-2025-0081,corte_solda,COR-01,Maria Costa,2025-03-24T11:00:00Z,2025-03-24T18:00:00Z,1470,15,Falha na solda
OP-2025-0082,extrusao,EXT-01,João Silva,2025-03-25T07:00:00Z,2025-03-25T11:00:00Z,1960,20,Acerto de máquina
OP-2025-0082,corte_solda,COR-01,Maria Costa,2025-03-25T11:00:00Z,2025-03-25T18:00:00Z,1960,20,Falha na solda
OP-2025-0083,extrusao,EXT-01,João Silva,2025-03-26T07:00:00Z,2025-03-26T11:00:00Z,2450,25,Acerto de máquina
OP-2025-0084,extrusao,EXT-01,João Silva,2025-03-27T07:00:00Z,2025-03-27T11:00:00Z,2940,30,Acerto de máquina
OP-2025-0085,extrusao,EXT-01,João Silva,2025-03-28T07:00:00Z,2025-03-28T11:00:00Z,3430,35,Acerto de máquina
OP-2025-0085,corte_solda,COR-01,Maria Costa,2025-03-28T11:00:00Z,2025-03-28T18:00:00Z,3430,35,Falha na solda
OP-2025-0086,extrusao,EXT-01,João Silva,2025-03-29T07:00:00Z,2025-03-29T11:00:00Z,3920,40,Acerto de máquina
OP-2025-0086,corte_solda,COR-01,Maria Costa,2025-03-29T11:00:00Z,2025-03-29T18:00:00Z,3920,40,Falha na solda
OP-2025-0087,extrusao,EXT-01,João Silva,2025-03-30T07:00:00Z,2025-03-30T11:00:00Z,4410,45,Acerto de máquina
OP-2025-0087,corte_solda,COR-01,Maria Costa,2025-03-30T11:00:00Z,2025-03-30T18:00:00Z,4410,45,Falha na solda
OP-2025-0088,extrusao,EXT-01,João Silva,2025-03-31T07:00:00Z,2025-03-31T11:00:00Z,4900,50,Acerto de máquina
OP-2025-0089,extrusao,EXT-01,João Silva,2025-04-01T07:00:00Z,2025-04-01T11:00:00Z,5390,55,Acerto de máquina
